Authors,Author full names,Author(s) ID,Title,Year,Source title,Cited by,DOI,Link,Abstract,Index Keywords,Search_Etiquette
Sandahl J.,"Sandahl, Johan (56548729700)",56548729700,Preparing for citizenship: The value of second order thinking concepts in social science education,2015,Journal of Social Science Education,31,10.2390/jsse-v14-i1-1375,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924707793&doi=10.2390%2fjsse-v14-i1-1375&partnerID=40&md5=dee07d43bdd5a9ed16eb5c7735430c32,"Social Science as a school subject aims at making students knowledgeable in societal issues as well as preparing them for citizenship. Despite the strong position of Social Science in the Swedish school curricula, little research has been done in the field. Previous research has mainly concentrated on factual knowledge and conceptual learning, or the role of deliberation in class activities. Less research has focused on the role of disciplinary thinking and how that might promote learning to think like a social scientist while at the same time preparing students for citizenship. By using a conceptual framework from history didactics, Social Science education is in the following text explored in search of second order thinking concepts. Also, the relationship between these concepts and democratic socialisation is discussed. By focusing on one substantial case, this study tries to reach beyond the various topics commonly covered in Social Science education. The research was conducted by observing teaching in Social Science and interviewing six experienced teachers. Using this conceptual framework, ideas on how to organise, analyse, interpret and critically review discourses in society were constructed as six proposed second order thinking concepts of Social Science: social science causality, social science evidence and inference, social science abstraction, social science comparison and contrast, social science perspective taking and the evaluative dimension. The argument is that when students work scientifically they develop a way of thinking about society and they challenge their set opinions about different topics. Therefore, second order thinking concepts are important for learning Social Science and at the same time preparing students for a life as citizens. © 2015 JSSE",,Social Sciences
Freeman L.C.,"Freeman, Linton C. (7202702663)",7202702663,Editing a normal science journal in social science,2006,Bulletin de Méthodologie Sociologique,2,10.1177/075910630609100104,https://www.scopus.com/inward/record.uri?eid=2-s2.0-43249164368&doi=10.1177%2f075910630609100104&partnerID=40&md5=7160664b61d20a458e7920c367684746,"This paper displays some differences between “normal science” journals in fields like physics and chemistry and those in “non-normal science” fields in the social sciences. It shows that one journal, Social Networks, looks more like a normal science journal than a typical social science journal. I argue that the normal science properties of social network research stem from its use of both graphic images and mathematical models and from the availability of computers that permit the analysis of relatively complex data structures. © 2006, Sage Publications. All rights reserved.",,Social Sciences
Van Eekelen B.F.,"Van Eekelen, Bregje F. (56179211200)",56179211200,Traveling Concepts: Anthropological Engagements with Histories of Social Science,2022,Annual Review of Anthropology,0,10.1146/annurev-anthro-102317-050241,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144798762&doi=10.1146%2fannurev-anthro-102317-050241&partnerID=40&md5=ebbaae1d028005c298e4298a47746518,"This article discusses historical and anthropological approaches to the life of social science. After presenting the thematic of social science concepts that figure as found object in cultural anthropology, this review briefly introduces the domain of history of social science (HSS). It then examines HSS studies that could enrich anthropological encounters with social science concepts, both methodologically and through the vivid social histories of relevant concepts, categories, and methods. I complement my review of these approaches in HSS with a discussion of anthropological studies of social science concepts. I review both the historical and the anthropological literature with the same key questions, focused on the analytical tools that each approach brings to the study of social science: what conditions of emergence of these social imaginaries are incorporated in the analyses, what contexts and processes relevant to their appropriation and travel are presented, and how these enquiries examine the effects on the worlds in which they circulate. In my conclusion, I point out how cultural anthropology can uniquely contribute to the domain of HSS. Copyright © 2022 by Annual Reviews.All rights reserved.",anthropology; culture; social history,Social Sciences
Kropp K.,"Kropp, Kristoffer (37561614400)",37561614400,The EU and the social sciences: A fragile relationship,2021,Sociological Review,7,10.1177/00380261211034706,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111481111&doi=10.1177%2f00380261211034706&partnerID=40&md5=7a3f73b2dbe536772f724df0d3906ac5,"The position of the social sciences within European Union (EU) research policy is fragile. The social sciences have been entangled with the EU integration process throughout the organization’s trajectory; still, social sciences have only lately been integrated into EU research policy in a marginal position. Drawing on Bourdieu’s generic field analysis, this article analyses the struggles over the position of the social sciences within EU research policies from the early 1990s until today. First, the analysis shows how the social sciences were included in EU research policies with the simultaneous establishment of the European field of social science through the formation of scientific associations, journals and European research infrastructures. Second, it focuses on the struggle over the position of the social sciences in Horizon 2020. This analysis shows how social-science researchers mobilized social and political capital in the efforts to organize and implement the H2020 to ensure the presence of social-science issues and researchers in the programme despite the dominance of other sciences and political issues. Overall, the analysis is a reminder of the generally subordinate position of the social sciences, particularly in EU research policies, but it also shows that well-organized social sciences can participate in organizing research funding and ensure representation of otherwise marginalized research fields. © The Author(s) 2021.",,Social Sciences
Oliveira A.,"Oliveira, Amurabi (55800153100)",55800153100,Reading the world through the educational curriculum: The Social Sciences curriculum in Brazil in the context of the rise of conservatism; [Leyendo el mundo a través del currículum: El currículum de Ciencias Sociales en Brasil en el contexto del auge del conservadurismo],2021,Bellaterra Journal of Teaching and Learning Language and Literature,3,10.5565/REV/JTL3.948,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112633499&doi=10.5565%2fREV%2fJTL3.948&partnerID=40&md5=be068ac57e9eddeb72b46f6103cce971,"In Brazil, the growing political polarization that culminated in the election of Jair Bolsonaro in 2018 consolidated a shift in educational policy that had already been pointed out in previous years, as demonstrated by the Nonpartisan school movement performance. In this article, we analyze the curriculum of human and social sciences in secondary education in Brazil from the Brazilian Learning Standards, and how that document reflects the rise of these conservative movements. On the one hand, it was observed that important categories for the social sciences, such as gender, were removed, thus removing the centrality of categories such as racism and social inequalities; on the other hand, there is a strong dispute over the meanings of other concepts, such as human rights. Both actions converge to fine-tune the human and social sciences curriculum with the guidelines of conservative movements in the educational field. © 2021 Universitat Autonoma de Barcelona and Universitat de Girona. All rights reserved.",,Social Sciences
Feingold D.,"Feingold, Daniel (56399113800)",56399113800,Attitudes towards Substance Use Disorders among Students in the Social Sciences: The Role of Gender and Terminology,2020,Substance Use and Misuse,5,10.1080/10826084.2019.1683199,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074828771&doi=10.1080%2f10826084.2019.1683199&partnerID=40&md5=b27abc3f11651c68f2d6e5a83bbc4068,"Background: Negative attitudes towards individuals with substance use disorders (SUDs) have been consistently reported within the general population, as well as among health professionals and medical students. Objectives: To explore attitudes towards SUDs held by students in the social sciences, the future-to-be mental health professionals, as well as factors, which may affect these attitudes. Methods: Undergraduate and graduate students in the social sciences (psychology, social work, criminology; N = 184), were presented a vignette describing an individual with substance-related problems. Participants were randomly assigned with one of two vignettes, either addressing him as “suffering from substance use disorder” or as an “addict.” Attitudes were assessed by exploring the degree to which participants perceive the described individual as posing social threat and in need of treatment. Results: Women generally perceived individuals with SUDs as in more need for treatment compared to men. Men, but not women, were significantly affected by the terminology used, with less negative attitudes reported when using medical terminology. Conclusion: Gender differences in attitudes towards individuals with SUDs may be present in earlier stages of mental health professionals' career. More emphasis should be given on the use of non-stigmatizing terminology among students in the social sciences, particularly men. © 2019, © 2019 Taylor & Francis Group, LLC.",Attitude of Health Personnel; Female; Humans; Male; Social Sciences; Social Stigma; Stereotyping; Students; Substance-Related Disorders; Terminology as Topic; drug dependence; female; health personnel attitude; human; male; nomenclature; social stigma; sociology; stereotyping; student,Social Sciences
,,,An Analysis of Competitiveness and Characteristics of Humanities and Social Sciences at Province Level in China in the New Era: Based on the Statistical Data of National Social Science Fund Projects from 2009 to 2019; [新时代我国省域人文社会科学研究竞争力与特征分析 ———基于 2009—2019 年国家社会科学基金项目统计数据],2021,Information studies: Theory and Application,0,10.16353/j.cnki.1000-7490.2021.08.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204582064&doi=10.16353%2fj.cnki.1000-7490.2021.08.010&partnerID=40&md5=b83395c3796329aa101bd0f557c9dc39,"[Purpose / significance] The numbers and characteristics of the National Social Science Fund projects could measure a province’s research competitiveness of the humanities and social sciences. The empirical analysis of the funded project data can provide reference for provinces and cities to understand their own research advantages and gaps, thus to strengthen the regional humanities and social sciences research. [Method / process] Comprehensively using the word frequency analysis, data visualization as well as other methods, this study analyzed the quantitative characteristics, discipline distribution, institution distribution, research characteristics and research trend of the National Social Science Fund projects from 2009 to 2019. [Result / conclusion] In 31 provinces, the National Social Science Fund projects present a typical distribution rate (20% / 80% ) in terms of the number, advantage disciplines, and institutional types. For Beijing, Shanghai, Jiangsu, Hubei, Zhejiang, and Guangdong provinces, not only their project quantity are far ahead other provinces, their academic competitiveness also has obvious advantages. Majority of the projects, more than 80 percent are undertaken by universities and colleges. Each province and autonomous region have shown their research characteristics corresponding to their location, economy, culture, and history. They develop a new research trend that conducting research oriented to major national strategies, centered on major social issues and using information technology methods. © 2021 Information studies: Theory and Application. All rights reserved.",,Social Sciences
Gone K.P.; Smit M.,"Gone, Keshava Pallavi (58094026600); Smit, Michael (22235288500)",58094026600; 22235288500,Designing a Natural Language Processing System to Support Social Science Research,2023,"Proceedings of the 2023 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining, ASONAM 2023",0,10.1145/3625007.3627479,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190624890&doi=10.1145%2f3625007.3627479&partnerID=40&md5=e4eba46116356ef5b55ac633aae308b2,"The rapid development of machine learning has delivered new approaches, methods, and tools to multiple domains. I see potential for these developments, specifically natural language processing (NLP), to provide new insights, novel methods, and larger scale to social science research. However, novel NLP methods require substantial technical skills to implement. Some of the highest adoption of novel technical tools is in the area of social media analysis, where the volume of source material can overwhelm methods that rely on human capacity. My PhD dissertation aims to bridge the gap between NLP technologies and the unique needs of social science research by contributing to the development of an open-source NLP tool specifically tailored for social science researchers that reduces barriers to entry. The goal is to empower social science researchers by providing more opportunities to explore data in novel ways. This paper outlines the objectives, methodology, and expected outcomes of the proposed research study, which includes designing the development process, requirement analysis, prototyping an NLP tool, evaluating its usability and performance, and providing support for its integration into the research workflow. © 2023 ACM.",Behavioral research; Design; Social networking (online); Social sciences computing; Language processing; Machine-learning; Multiple domains; Natural language processing; Natural Language Processing Tools; Natural languages; New approaches; Social science research; Text mining tool; Text-mining; Natural language processing systems,Social Sciences
Scott S.V.; Venters W.,"Scott, Susan V. (7401505783); Venters, Will (55893998900)",7401505783; 55893998900,"The practice of e-science and e-social science: Method, theory, and matter",2007,IFIP International Federation for Information Processing,6,10.1007/978-0-387-73025-7_19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-35148860662&doi=10.1007%2f978-0-387-73025-7_19&partnerID=40&md5=27a6e2a911d0abe74b3ba90de04a1d9a,"Grid technologies are widely regarded as important innovations for drawing together distributed knowledge workers into virtual communities. After reviewing the developments in e-science, we examine the emergence of e-social science and the potential impact on scientific discovery. Grids are currently in a key developmental phase during which the field of information systems can bring significant insight. We consider what is new about the Grid phenomena and discuss the issues raised by this particular approach to the virtualization of research practices. Our analysis is organized into three subsections that focus on: developments in e-social science research methods; the theoretical issues involved in pursuing an e-social science agenda; as well as the status and nature of the research materials that it gives rise to in information systems. © 2007 International Federation for Information Processing.",Data processing; Information systems; Research; Virtual reality; Distributed knowledge; e-Science; e-Social science; Grid technologies; Potential impacts; Scientific discovery; Virtual community; Virtualizations; Social sciences,Social Sciences
Jewitt C.; Xambo A.; Price S.,"Jewitt, Carey (59357195100); Xambo, Anna (36642886000); Price, Sara (16234800800)",59357195100; 36642886000; 16234800800,Exploring methodological innovation in the social sciences: the body in digital environments and the arts,2017,International Journal of Social Research Methodology,24,10.1080/13645579.2015.1129143,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958542192&doi=10.1080%2f13645579.2015.1129143&partnerID=40&md5=0c020f836dcb3c8ce0d3919bfcf07b6d,"In this paper we examine methodological innovation in the social sciences through a focus on researching the body in digital environments. There are two strands to our argument as to why this is a useful site to explore methodological innovation in the social sciences. First, researching the body in digital environments places new methodological demands on social science. Second, as an area of interest at the intersection of the social sciences and the arts, it provides a focus for exploring how social science innovation can be informed by engagement with the arts, in this instance how the arts work with the body in digital environments and take up social science ideas in novel ways. We argue that social science engagement with the arts and the relatively unmapped terrain of the body in digital environments has the potential to open up spaces for innovative social science questions and methods: spaces, questions and methods that have potential for more general social science methodological innovation. We draw on the findings of the Methodological Innovation in Digital Arts and Social Sciences (MIDAS) project a multi-site ethnography of the research ecologies of the social sciences and the arts related to the body in digital environments. We propose a continuum of methodological innovation that attends to how methods are moved across research contexts and disciplines, in this instance the social sciences and the digital arts. We illustrate and discuss the innovative potential of expanding and re-situating methods across the social sciences and the arts, the transfer of methods and concepts across disciplinary borders and the interdisciplinary generation of new methods. We discuss the catalysts and challenges for social science methodological innovation in relation to the digital and the arts, with attention to how the social sciences might engage with the arts towards innovative research. © 2016 The Author(s). Published by Taylor & Francis.",,Social Sciences
Jayaram N.,"Jayaram, N. (18037193500)",18037193500,Unitary social science: An idea and its prospects,2019,Understanding Social Dynamics in South Asia: Essays in Memory of Ramkrishna Mukherjee,0,10.1007/978-981-13-0387-6_3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074312674&doi=10.1007%2f978-981-13-0387-6_3&partnerID=40&md5=f930ba55df223ec41e57003aed4320c8,"In the era of proliferation, fragmentation and compartmentalisation of disciplines, to argue the case for ‘unitary social science’ may appear to be either a cry of desperation or a pipedream. In contemporary India, among the very few advocates of this lost cause was the late Professor Ramkrishna Mukherjee (1917–2015). His last major book, suggestively entitled Why Unitary Social Science? (2009), was devoted to elucidate the idea and explain the need for ‘unitary social science’. In this chapter, we focus on this idea from the vantage point of sociology. We trace the origin and development of this idea in both Europe and India as well as examine the prospects and problems of realising it. © Springer Nature Singapore Pte Ltd. 2019. All rights reserved.",,Social Sciences
Breznau N.,"Breznau, Nate (36674669800)",36674669800,Integrating Computer Prediction Methods in Social Science: A Comment on Hofman et al. (2021),2022,Social Science Computer Review,2,10.1177/08944393211049776,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128632430&doi=10.1177%2f08944393211049776&partnerID=40&md5=1bb3d062257ba0deac6bf2a9726727b7,"Machine learning and other computer-driven prediction models are one of the fastest growing trends in computational social science. These methods and approaches were developed in computer science and with different goals and epistemologies than those in social science. The most obvious difference being a focus on prediction versus explanation. Predictive modeling offers great potential for improving research and theory development, but its adoption poses some challenges and creates new problems. For this reason, Hofman et al. published recommendations for more effective integration of predictive modeling into social science. In this communication, I review their recommendations and expand on some additional concerns related to current practices and whether prediction can effectively serve the goals of most social scientists. Overall, I argue they provide a sound set of guidelines and a classification scheme that will serve those of us working in computational social science. © The Author(s) 2022.",,Social Sciences
He J.; Zhou H.; Xiao Q.,"He, Jie (55651389600); Zhou, Hui (59061026500); Xiao, Qun (55650764500)",55651389600; 59061026500; 55650764500,Status and strategy of the interdisciplinary research between social science and natural science at Peking University,2013,Beijing Daxue Xuebao (Ziran Kexue Ban)/Acta Scientiarum Naturalium Universitatis Pekinensis,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876183639&partnerID=40&md5=ef2b55ed244ba050fe84f77165942e26,"By analyzing the research style of Peking University in social science area and natural science area, the authors introduce the status of interdisciplinary research between social science and natural science at Peking University. On the basis of discussing on the measures of promoting interdisciplinary research between social science and natural science implement in international university and China university, the authors give some suggestions on how to promote such researches at Peking University, such as to create atmosphere of interdisciplinary research, to establish an commission of social science and natural science in university level, to set up regulations to promote the collaboration between social science and natural science, to provide students with interdisciplinary courses in social science and natural science, to found communication platform for social research and natural research. © 2013 Peking University.",,Social Sciences
Gefen A.; Saint-Raymond L.; Venturini T.,"Gefen, Alexandre (26035305200); Saint-Raymond, Léa (57205693353); Venturini, Tommaso (15849341500)",26035305200; 57205693353; 15849341500,AI for Digital Humanities and Computational Social Sciences,2021,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),14,10.1007/978-3-030-69128-8_12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100972178&doi=10.1007%2f978-3-030-69128-8_12&partnerID=40&md5=2c35df97ef6964d58dd18ae84d2a7a9d,"AI raises multiple essential issues for the humanities and the social sciences. AI is obviously a major societal issue whose consequences are currently invading the public sphere raising a variety of questions of acceptability, privacy protection or economic impact, and involving expertise that span across the entire range of social and human research. But AI is also a new way of doing research, where massive data processing is made possible by techniques of machine and deep learning, offering new perspectives for analysis. Reflecting about the nature of intelligence and humanity, but also helping the humanities and the social sciences to benefit from the methodological advances of AI: this is the double challenge that this chapter would like to tackle. We will present the major questions posed to artificial intelligence by the humanities and social sciences, to go through some of the proposed approaches, but also to show how artificial intelligence has become an essential working tool for this field. © 2021, Springer Nature Switzerland AG.",Behavioral research; Data privacy; Deep learning; Computational social science; Digital humanities; Economic impacts; Humanities and social science; Privacy protection; Societal issues; Economic and social effects,Social Sciences
Wulfhorst J.D.; Bruno J.E.; Toledo D.; Wilmer H.; Archer D.W.; Peck D.; Huggins D.,"Wulfhorst, J.D. (6506491367); Bruno, Jasmine E. (57212378991); Toledo, David (23568817000); Wilmer, Hailey (55998580600); Archer, David W. (56040498100); Peck, Dannele (35362647800); Huggins, David (7102764074)",6506491367; 57212378991; 23568817000; 55998580600; 56040498100; 35362647800; 7102764074,Infusing ‘long-term’ into social science rangelands research,2022,Rangelands,3,10.1016/j.rala.2022.06.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139218439&doi=10.1016%2fj.rala.2022.06.001&partnerID=40&md5=28686760584adf7ede8247759656ff94,"• Social science rangelands research has advanced substantively in the last few decades as a multidisciplinary endeavor, and notably through increased capacity to integrate with ecologically centered approaches. • The diversity of social science-related contributions to rangelands research continues to expand with both breadth and depth of approaches, perspectives, and backgrounds of participating scholars. • The USDA Long-term Agroecosystem Research (LTAR) Network advances a unique long-term and large-scale effort to incorporate social science research into a long-term “common experiment” across multiple sites within varied rangelands contexts of the United States. © 2022",United States; agricultural ecosystem; rangeland; research; social science and humanities,Social Sciences
Kernecker T.; Prandner D.; Kaczmirek L.,"Kernecker, Theresa (57188989497); Prandner, Dimitri (55802129800); Kaczmirek, Lars (23397390400)",57188989497; 55802129800; 23397390400,Five years of AUSSDA: Reflections on the development of a social science research infrastructure; [Fünf Jahre AUSSDA. Reflexionen über den Aufbau einer sozialwissenschaftlichen Forschungsinfrastruktur],2023,VOEB-Mitteilungen,0,10.31263/voebm.v76i2.8289,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184738218&doi=10.31263%2fvoebm.v76i2.8289&partnerID=40&md5=7c6670e9dc43867efbfe884a81d6c53b,"The Austrian Social Science Data Archive (AUSSDA) was established in 2017 as a key infrastructure for the social sciences in Austria. This article aims to describe the role of the archive within the Austrian social science community. It highlights the most significant milestones of AUSSDA in its capacity as a data archive and explores potential focal areas for its future development from the perspective of community members. Additionally, the article underscores the importance of community engagement as a vital element for the continued growth and development of the archive. © 2023, Vereinigung Osterreichischer Bibliothekarinnen und Bibliothekare. All rights reserved.",,Social Sciences
Olenev S.M.,"Olenev, S.M. (36806547900)",36806547900,The concept of information as used in the social sciences and humanities,2014,Scientific and Technical Information Processing,0,10.3103/S0147688214020087,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906232595&doi=10.3103%2fS0147688214020087&partnerID=40&md5=29f9e6e2833c33b5c2a1b78298acbe1b,"The evolution of the scientific application of the term information and its contemporary interpretation in social sciences and humanities is considered. The theoretical potential of this term, theoretical and practical basics of information technologies, and prospects for the development of social sciences and humanities, in which the concept of information is used, are analyzed. © 2014 Allerton Press, Inc.",Computer science; Data processing; information; philosophy; Scientific applications; Social sciences,Social Sciences
Graziul C.; Belikov A.; Chattopadyay I.; Chen Z.; Fang H.; Girdhar A.; Jia X.; Krafft P.M.; Kleiman-Weiner M.; Lewis C.; Liang C.; Muchovej J.; Vientós A.; Young M.; Evans J.,"Graziul, Chris (43461372700); Belikov, Alexander (34167454800); Chattopadyay, Ishanu (57989447400); Chen, Ziwen (58396118100); Fang, Hongbo (57219539270); Girdhar, Anuraag (57989312100); Jia, Xiaoshuang (57989582900); Krafft, P.M. (55699038000); Kleiman-Weiner, Max (23492554900); Lewis, Candice (58371953200); Liang, Chen (58731685200); Muchovej, John (57219619327); Vientós, Alejandro (57989177200); Young, Meg (57013992800); Evans, James (34770162000)",43461372700; 34167454800; 57989447400; 58396118100; 57219539270; 57989312100; 57989582900; 55699038000; 23492554900; 58371953200; 58731685200; 57219619327; 57989177200; 57013992800; 34770162000,Does big data serve policy? Not without context. An experiment with in silico social science,2023,Computational and Mathematical Organization Theory,1,10.1007/s10588-022-09362-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129286359&doi=10.1007%2fs10588-022-09362-3&partnerID=40&md5=b0ef7609326d9c01b179363f1ce56d87,"The DARPA Ground Truth project sought to evaluate social science by constructing four varied simulated social worlds with hidden causality and unleashed teams of scientists to collect data, discover their causal structure, predict their future, and prescribe policies to create desired outcomes. This large-scale, long-term experiment of in silico social science, about which the ground truth of simulated worlds was known, but not by us, reveals the limits of contemporary quantitative social science methodology. First, problem solving without a shared ontology—in which many world characteristics remain existentially uncertain—poses strong limits to quantitative analysis even when scientists share a common task, and suggests how they could become insurmountable without it. Second, data labels biased the associations our analysts made and assumptions they employed, often away from the simulated causal processes those labels signified, suggesting limits on the degree to which analytic concepts developed in one domain may port to others. Third, the current standard for computational social science publication is a demonstration of novel causes, but this limits the relevance of models to solve problems and propose policies that benefit from the simpler and less surprising answers associated with most important causes, or the combination of all causes. Fourth, most singular quantitative methods applied on their own did not help to solve most analytical challenges, and we explored a range of established and emerging methods, including probabilistic programming, deep neural networks, systems of predictive probabilistic finite state machines, and more to achieve plausible solutions. However, despite these limitations common to the current practice of computational social science, we find on the positive side that even imperfect knowledge can be sufficient to identify robust prediction if a more pluralistic approach is applied. Applying competing approaches by distinct subteams, including at one point the vast TopCoder.com global community of problem solvers, enabled discovery of many aspects of the relevant structure underlying worlds that singular methods could not. Together, these lessons suggest how different a policy-oriented computational social science would be than the computational social science we have inherited. Computational social science that serves policy would need to endure more failure, sustain more diversity, maintain more uncertainty, and allow for more complexity than current institutions support. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Big data; Deep neural networks; 'current; Computational social science; Deep learning; Ground truth; In-silico; Large-scales; Machine-learning; Quantitative social science; Simulated society; Simulation; Behavioral research,Social Sciences
Zaman S.; Nahar P.; Macgregor H.; Barker T.; Bayisenge J.; Callow C.; Fairhead J.; Fahal A.; Hounsome N.; Roemer-Mahler A.; Mugume P.; Tadele G.; Davey G.,"Zaman, Shahaduz (55433022000); Nahar, Papreen (59107910700); Macgregor, Hayley (14522812000); Barker, Tom (57221217670); Bayisenge, Jeannette (56444345700); Callow, Clare (57221217588); Fairhead, James (7003429789); Fahal, Ahmed (7003586025); Hounsome, Natalia (24171189500); Roemer-Mahler, Anne (36020795200); Mugume, Peter (57192594969); Tadele, Getnet (36451084800); Davey, Gail (7102000901)",55433022000; 59107910700; 14522812000; 57221217670; 56444345700; 57221217588; 7003429789; 7003586025; 24171189500; 36020795200; 57192594969; 36451084800; 7102000901,Severely stigmatised skin neglected tropical diseases: A protocol for social science engagement,2020,Transactions of the Royal Society of Tropical Medicine and Hygiene,6,10.1093/trstmh/traa141,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098532822&doi=10.1093%2ftrstmh%2ftraa141&partnerID=40&md5=fe0a9e743559fd6ed2affc95f694d904,"More than one billion people are affected by neglected tropical diseases (NTDs) and many of these diseases are preventable. While the grouping of these conditions as NTDs has generated vast mapping, mass drug administration and surveillance programmes, there is growing evidence of gaps and weaknesses in purely biomedical approaches, and the need for responses that also recognise the social determinants of health. In order to unpack the social and political determinants of NTDs, it is important to view the problem from a social science perspective. Given this background, the Social Sciences for Severe Stigmatizing Skin Diseases (5S) Foundation has recently been established by the Centre for Global Health Research at Brighton and Sussex Medical School. The broad aim of the 5S Foundation is to incorporate social science perspectives in understanding and addressing the problems around three NTDs, namely, podoconiosis, mycetoma and scabies. This protocol paper sets out the aims and approaches of the 5S Foundation while activities such as research, public engagement, training and capacity building get underway. © 2020 The Author(s). Published by Oxford University Press on behalf of Royal Society of Tropical Medicine and Hygiene.",Global Health; Humans; Neglected Diseases; Skin Diseases; Social Sciences; Tropical Medicine; Article; capacity building; clinical research; community care; conceptual framework; cultural factor; economic aspect; health care cost; human; medical education; multidisciplinary team; mycetoma; neglected disease; patient care; podoconiosis; scabies; skin disease; social stigma; stakeholder engagement; tropical disease; global health; neglected disease; skin disease; sociology; tropical medicine,Social Sciences
Abramson S.; Horka W.; Wisniewski L.,"Abramson, Steven (57191247647); Horka, William (57191259127); Wisniewski, Leonard (57514895900)",57191247647; 57191259127; 57514895900,A hybrid cloud architecture for a social science research computing data center,2014,Proceedings - International Conference on Distributed Computing Systems,5,10.1109/ICDCSW.2014.32,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988382992&doi=10.1109%2fICDCSW.2014.32&partnerID=40&md5=a2dc31350adc1b5b7bd684f3bb1f1510,"Research computing in the social sciences requires access to statistical software and quantitative tools that perform embarrassingly parallel computation at moderate scale, large memory to fit entire data sets, and secure storage for potentially confidential data. The Research Computing Environment (RCE) was designed as a three-tier system to satisfy these requirements in a transparent manner. We extend the RCE to use cloud resources while maintaining the transparency of the resources from the user. This paper describes this use case and highlights the significant resource management and networking decisions made when designing and implementing a hybrid cloud architecture for a research computing environment to support the social sciences. © 2014 IEEE.",Behavioral research; Cloud computing; Computer architecture; Digital storage; Network architecture; Network management; Resource allocation; Social sciences; Social sciences computing; Virtual private networks; Parallel Computation; Quantitative tool; Research computing; Resource management; Secure storage; Social science research; Statistical software; Three-tier systems; Distributed computer systems,Social Sciences
Raghavan P.,"Raghavan, Prabhakar (7006894026)",7006894026,It’s time to scale the science in the social sciences,2014,Big Data and Society,14,10.1177/2053951714532240,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946137348&doi=10.1177%2f2053951714532240&partnerID=40&md5=10d0627fa145fc9ecb650436245456df,"The social sciences are at a remarkable confluence of events. Advances in computing have made it feasible to analyze data at the scale of the population of the world. How can we combine the depth of inquiry in the social sciences with the scale and robustness of statistics and computer science? Can we decompose complex questions in the social sciences into simpler, more robustly testable hypotheses? We discuss these questions and the role of machine learning in the social sciences. © The Author(s) 2014 Reprints and permissions: sagepub.co.uk/journalsPermissions.nav.",,Social Sciences
Lewis J.; Bartlett A.; Riesch H.; Stephens N.,"Lewis, Jamie (55484008100); Bartlett, Andrew (36999264600); Riesch, Hauke (23974949400); Stephens, Neil (16203881300)",55484008100; 36999264600; 23974949400; 16203881300,Why we need a Public Understanding of Social Science,2023,Public Understanding of Science,4,10.1177/09636625221141862,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146608700&doi=10.1177%2f09636625221141862&partnerID=40&md5=fdeb2a7ec1009fe8dce870b588a1a70f,"Who is licensed to make knowledge claims about society? A more diffuse group of individuals are afforded the status of legitimate speakers on society in the public sphere than is the case when the questions relate to the expertise of the natural sciences. We draw on the concept of the ‘locus of legitimate interpretation’ and the sensibilities of Collins and Evans’ Studies of Expertise and Experience programme to help make sense of these issues. The social sciences are not the natural sciences, and one key difference is their relationship with publics. The social sciences are intrinsically entangled, at both the level of the research question and the research subject/object, with public knowledge, the knowledges of publics and public interests. We therefore outline what these differences might mean for a serious, distinct and purposive Public Understanding of Social Science programme and how this differs from current work in the Public Understanding of Science. © The Author(s) 2023.",Humans; Knowledge; Science; Social Sciences; human; knowledge; science; sociology,Social Sciences
